id,preco
13518783164498355150900635905895481162,245251.28
299896161723793383246777788797566040330,294501.7
316180649972302128246133616457018378621,230831.2
222527157104148385909188217274642813298,112353.414
160460343059850745858546502614838368036,259228.7
262727202368986244371977784343233436999,92876.234
254093764205800086330999281077926851120,207360.14
26118184613036116787803832945215674478,216907.56
216524630140335566712794225427064313,157067.16
185631381169816366226494379020452029389,244704.89
193325654448132563278364141820152041311,157396.77
238917637717691361625086479663492481749,125946.91
55430829679256880238551444522175018156,128238.336
215317645068876070368783807654911699750,118979.234
81597227204971961501733390453078413740,167587.11
144896666825908872755051834814298387194,153376.62
184599608599423525451999366981389806783,349279.28
332523842755767369964829329030378044388,304989.0
115343777354602647202140618045743635008,189938.73
20757170217235469489036110086071917277,339923.0
185526399598537813925895625787601650168,139142.69
60658042813489826886245400795986219027,159746.81
252469656136469704862465423825396909961,240563.05
144289133420257677937750963126363910239,33032.168
286704706212186527658783613441315754259,259142.38
104788498292328609834480593297039083847,317851.44
83091551517048057678460117003997132666,412115.94
253819240599250454081144283787356606601,247726.98
47552100267769170589122325402191982347,219392.83
143932540867090135955180920741784357244,266528.38
196345985565471044954698780677909306202,131031.51
244792708737468723430839923035345593106,313832.25
84589940414664494482357035061818012137,232284.28
272199586960887794853261858460695880945,143280.73
49959439507026713714422386346459644032,160564.77
281026519311657672970881937258693325762,157573.55
93074564150014753673961081882123830374,353172.66
26728401390792884431172378844166640182,395105.6
188211565885838356078706489204052877949,142421.7
72487946181948797581370306862646034491,229555.55
228864048115975611203958077134700148633,315688.5
112454259487642510247400972640243226784,166095.23
222663295482952330188872827964862490542,134036.36
174300102534868734265445704595501072047,261646.23
65616068149477861830943576277231644996,191377.03
12512429268260634755522419284910697215,298235.78
336344009530167442733355949279054127993,53960.016
79522286518792634854353998912967788405,182865.16
82689802293775881487902613650793199776,211899.17
145087209205382180995284342956932775590,291625.62
148379644220249469735831915363404593938,62130.0
81783415914068556337040372580510327746,166653.73
17392005129747944984443660408573750669,267230.25
221003909581330971303914733428302885356,296898.97
32270994133870633595828638411924379558,280296.94
44743423162474884539743903954385097896,170881.88
256739781367016694034266877805520625472,372120.03
102069821313289958956134954896763391138,148811.03
